country,Support schemes,Social assistance schemes,Minimum Income Scheme,Poverty alleviation schemes,Poverty alleviation,Social assistance schemes.1,", year old: 0.00452409, policy: 0.00",Poverty in
austria,0.1093000024557113,0.0754999965429306,0.0582000017166137,0.395000010728836,0.0776999965310096,0.0825999975204467,0.0996999964118003,0.1020999997854232
belgium,0.5849999785423279,0.0531000010669231,0.0640000030398368,0.0498000010848045,0.0548000000417232,0.0707999989390373,0.0478000007569789,0.0746999979019165
croatia,0.1221000030636787,0.1240999996662139,0.1088000014424324,0.1353999972343444,0.1368999928236007,0.1052000001072883,0.1507000029087066,0.1167000010609626
cyprus,0.0817999988794326,0.0568999983370304,0.2485000044107437,0.3407999873161316,0.0848999992012977,0.0608000010251998,0.0636000037193298,0.0627000033855438
denmark,0.0487999990582466,0.0524999983608722,0.0533000007271766,0.0432999990880489,0.0507999993860721,0.656499981880188,0.0441000014543533,0.0507000014185905
estonia,0.1150000020861625,0.1422999948263168,0.1058000028133392,0.1335999965667724,0.1177000030875206,0.1182999983429908,0.1462000012397766,0.1212000027298927
finland,0.0891000032424926,0.0979999974370002,0.0668999999761581,0.1053000018000602,0.0768000036478042,0.3903999924659729,0.0738999992609024,0.099600002169609
france,0.1740999966859817,0.1128999963402748,0.0851999968290329,0.1058999970555305,0.198400005698204,0.1027000024914741,0.1379999965429306,0.0826999992132186
germany,0.1553000062704086,0.0997999981045723,0.1111000031232833,0.120399996638298,0.0993999987840652,0.1106000021100044,0.1075000017881393,0.1958999931812286
greece,0.0798999965190887,0.093699999153614,0.2343000024557113,0.1134999990463256,0.1054999977350235,0.1120999976992607,0.1551000028848648,0.1058000028133392
hungary,0.064300000667572,0.0800999999046325,0.0894000008702278,0.066100001335144,0.489300012588501,0.0683000013232231,0.0727000012993812,0.0697999969124794
ireland,0.1013000011444091,0.0944000035524368,0.0856999978423118,0.1150000020861625,0.0956000015139579,0.1088000014424324,0.2858999967575073,0.1133999973535537
italy,0.0913000032305717,0.0917999967932701,0.0961999967694282,0.0820000022649765,0.0804999992251396,0.0895000025629997,0.3727999925613403,0.0958999991416931
latvia,0.1191999986767768,0.1066000014543533,0.2382999956607818,0.1490000039339065,0.1062000021338462,0.095499999821186,0.0819000005722045,0.1032000035047531
lithuania,0.0816000029444694,0.3413000106811523,0.0838999971747398,0.0829000025987625,0.0859000012278556,0.1196999996900558,0.0803999975323677,0.1243000030517578
luxembourg,0.090999998152256,0.1932000070810318,0.1723999977111816,0.1055999994277954,0.1422999948263168,0.09009999781847,0.1048000007867813,0.1006999984383583
malta,0.1097000017762184,0.0965000018477439,0.0890000015497207,0.1380999982357025,0.1149000003933906,0.0988999977707862,0.2617999911308288,0.0910999998450279
portugal,0.1368999928236007,0.1076000034809112,0.1160999983549118,0.1181999966502189,0.1652999967336654,0.0892999991774559,0.1652999967336654,0.1011999994516372
romania,0.0375999994575977,0.0443999990820884,0.7350999712944031,0.0342000015079975,0.0366000011563301,0.0406999997794628,0.0340000018477439,0.0373999997973442
slovakia,0.1098000034689903,0.1406999975442886,0.1120000034570694,0.1282999962568283,0.1174999997019767,0.1145000010728836,0.1358000040054321,0.1412999927997589
slovenia,0.0984999984502792,0.125,0.0988000035285949,0.1066000014543533,0.13230000436306,0.1019999980926513,0.230100005865097,0.1067000031471252
spain,0.1059999987483024,0.2362000048160553,0.1076999977231025,0.1273999959230423,0.093199998140335,0.1420000046491623,0.0992999970912933,0.0881000012159347
sweden,0.1180000007152557,0.1280000060796737,0.1094999983906745,0.134100005030632,0.1102999970316886,0.152099996805191,0.1187999993562698,0.1291999965906143
the_netherlands,0.0571999996900558,0.0529999993741512,0.0423000007867813,0.0617999993264675,0.0696000009775161,0.0614000000059604,0.0542000010609626,0.6004999876022339
